portfolio,label,schedule,band_pp,stress,metric,value,start_date,end_date,peak_date,trough_date
monthly_band_15pp,Monthly + 15pp,monthly,15.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,subperiod_2018_2026,cagr,0.173546579464259,2018-01-01,2026-12-31,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,subperiod_2018_2026,sharpe,1.1863762173969916,2018-01-01,2026-12-31,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,subperiod_2018_2026,max_drawdown,-0.18031383719336913,2018-01-01,2026-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,2020_covid_daily_mdd,daily_mdd,-0.20907856076305742,2020-02-01,2020-04-30,2020-02-20,2020-03-16
monthly_band_20pp,Monthly + 20pp,monthly,20.0,2022_krw_return,calendar_year_return,-0.16789606388868794,2022-01-01,2022-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.1282593774532912,2010-01-04,2026-05-18,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,subperiod_2010_2017,cagr,0.09660895700639838,2010-01-01,2017-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,subperiod_2010_2017,sharpe,0.9793830371729435,2010-01-01,2017-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,subperiod_2018_2026,cagr,0.17619348984708716,2018-01-01,2026-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,subperiod_2018_2026,sharpe,1.135295444977758,2018-01-01,2026-12-31,,
monthly_band_20pp,Monthly + 20pp,monthly,20.0,subperiod_2018_2026,max_drawdown,-0.20907856076305742,2018-01-01,2026-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,2020_covid_daily_mdd,daily_mdd,-0.16588573796656614,2020-02-01,2020-04-30,2020-02-20,2020-03-19
annual_band_0pp,Annual + 0pp,annual,0.0,2022_krw_return,calendar_year_return,-0.15104871402679665,2022-01-01,2022-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11454402912535189,2010-01-04,2026-05-18,,
annual_band_0pp,Annual + 0pp,annual,0.0,subperiod_2010_2017,cagr,0.08708497579946206,2010-01-01,2017-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,subperiod_2010_2017,sharpe,0.9699522215862458,2010-01-01,2017-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,subperiod_2010_2017,max_drawdown,-0.06887714247084764,2010-01-01,2017-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,subperiod_2018_2026,cagr,0.15818446108922357,2018-01-01,2026-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,subperiod_2018_2026,sharpe,1.2527436385940123,2018-01-01,2026-12-31,,
annual_band_0pp,Annual + 0pp,annual,0.0,subperiod_2018_2026,max_drawdown,-0.1669256131525506,2018-01-01,2026-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,2020_covid_daily_mdd,daily_mdd,-0.16599254625631088,2020-02-01,2020-04-30,2020-02-20,2020-03-19
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,2022_krw_return,calendar_year_return,-0.15105231592940505,2022-01-01,2022-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11456690428582283,2010-01-04,2026-05-18,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,subperiod_2010_2017,cagr,0.08748078688242122,2010-01-01,2017-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,subperiod_2010_2017,sharpe,0.9576022725915362,2010-01-01,2017-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,subperiod_2018_2026,cagr,0.15839538363152839,2018-01-01,2026-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,subperiod_2018_2026,sharpe,1.2534437211693907,2018-01-01,2026-12-31,,
annual_band_2p5pp,Annual + 2.5pp,annual,2.5,subperiod_2018_2026,max_drawdown,-0.16694912660813543,2018-01-01,2026-12-31,,
