portfolio,label,schedule,band_pp,date,event_type,pre_nav_krw,pre_check_max_component_abs_drift_pp,commission_krw,capital_gains_tax_krw
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-04-01,band_trigger_rebalance,324275632.89470506,2.1047316243678282,34654.15474994853,160812.32079463662
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-05-02,band_trigger_rebalance,313644247.90348876,1.105047510431148,24623.617631041016,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-06-01,band_trigger_rebalance,307127243.3347182,0.6996366171199864,13370.785645193737,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-07-01,band_trigger_rebalance,306575305.810972,1.5152162171976846,23693.045619576722,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-08-01,band_trigger_rebalance,324783208.117826,1.2706807326175489,31191.354718975686,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-09-01,band_trigger_rebalance,322641902.2081244,0.2616175678456678,6760.5424224194885,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-10-03,band_trigger_rebalance,321821281.4303732,0.9616204081344948,16299.784606828336,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-11-01,band_trigger_rebalance,321000071.61238414,1.098608807206769,19194.299275619927,165280.68022797402
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-12-01,band_trigger_rebalance,313222177.12249017,0.5513712875378607,9388.764906888511,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-01-02,band_trigger_rebalance,292532496.0833829,1.4699759353106105,26379.652648177613,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-02-01,band_trigger_rebalance,305093658.69575804,1.2417935015788721,21858.022388643734,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-03-01,band_trigger_rebalance,311257091.60581815,0.3356659536435713,6653.608262723182,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-04-03,band_trigger_rebalance,326933000.3726369,1.0353336440496324,16963.118674095105,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-05-01,band_trigger_rebalance,332401725.07728773,0.3491840870129048,8313.241981991734,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-06-01,band_trigger_rebalance,336796412.46386576,1.3349341772598833,22459.268983871563,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-07-03,band_trigger_rebalance,341338287.9710259,1.2633201665433746,25596.992039660403,525485.1911806519
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-08-01,band_trigger_rebalance,340230418.23494345,0.7034232008488184,13344.003949098551,477647.8979848988
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-09-01,band_trigger_rebalance,344314982.68568665,0.21003331967861527,4180.11532297641,58144.92318754857
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-10-02,band_trigger_rebalance,339498038.73367935,0.34023165447942816,7739.575619774982,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-11-01,band_trigger_rebalance,334582195.7692787,0.9174875743628047,15368.099300116022,6203.662054606769
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2023-12-01,band_trigger_rebalance,348796819.5158559,1.11325549558689,19468.928211849667,120583.09210290202
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-01-02,band_trigger_rebalance,360326851.7480063,0.5964833918026768,9884.790194453299,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-02-01,band_trigger_rebalance,373483597.3836805,1.3488066511425507,26034.23787511222,341222.2668897687
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-03-01,band_trigger_rebalance,386276885.9236472,1.5793507066012458,31421.47489827432,722690.1158760848
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-04-01,band_trigger_rebalance,393575786.74284816,0.4902015634310808,14532.266592639238,276987.8084552073
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-05-01,band_trigger_rebalance,389399968.5157778,0.6011124925987987,10974.859097001068,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-06-03,band_trigger_rebalance,400987486.1026701,0.7479465505362409,24402.117105595433,485247.7588224417
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-07-01,band_trigger_rebalance,417163162.8925667,1.069802305210421,24173.834768106266,558083.9792179315
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-08-01,band_trigger_rebalance,413936755.8932026,1.1469196134975268,26901.394023700246,30722.100751511603
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-09-02,band_trigger_rebalance,414903708.6160045,0.513399481761112,10794.626186149158,95032.91098505937
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-10-01,band_trigger_rebalance,416330835.5664148,0.1425313229414915,2106.285656855963,1062.6949685172365
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-11-01,band_trigger_rebalance,424936323.9865386,0.7439737853113082,28775.93230151184,576268.8602128992
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2024-12-02,band_trigger_rebalance,441188222.18269473,1.8335779520492674,42323.64802347999,1575482.5462601404
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-01-02,band_trigger_rebalance,446424217.84774673,0.6665348773269325,19573.575182139502,126690.18604306596
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-02-03,band_trigger_rebalance,448931046.3544621,0.2592460660335416,6404.751154852249,266347.74127818656
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-03-03,band_trigger_rebalance,445046448.6641789,1.0990367501238774,28890.464781786053,80409.83804373788
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-04-01,band_trigger_rebalance,439737337.49325836,0.7659619923828909,22576.702729149834,91202.09089228613
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-05-01,band_trigger_rebalance,433348825.89963084,0.3692142526291964,11986.965051289239,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-06-02,band_trigger_rebalance,432258045.2673259,1.5333688604046547,33170.51872624334,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-07-01,band_trigger_rebalance,437981096.6072824,0.579109137414005,19372.80980187133,166274.03697265196
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-08-01,band_trigger_rebalance,454333748.10438955,0.533761472744243,11661.175408344194,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-09-01,band_trigger_rebalance,460137213.0787874,0.909591685688374,25613.059982232488,548121.4506065898
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-10-01,band_trigger_rebalance,487558423.4973647,1.442834492955275,37355.70253747266,178653.2365112588
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-11-03,band_trigger_rebalance,534229720.88438517,3.9346931281631914,104561.47823359464,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2025-12-01,band_trigger_rebalance,537537114.241888,1.0654491582438086,31383.362280051933,37152.170496728235
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2026-01-02,band_trigger_rebalance,541990710.1099609,1.9816543878668658,52771.10200030204,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2026-02-02,band_trigger_rebalance,572040205.3543252,2.992010646482804,85445.59147681706,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2026-03-02,band_trigger_rebalance,598061266.3774613,4.486105650307831,133934.687337617,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2026-04-01,band_trigger_rebalance,585092225.6613231,2.982605862797569,88473.67863846396,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2026-05-01,band_trigger_rebalance,627019505.957037,2.6478462962299165,83233.74802220847,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2010-01-04,initial_allocation,100000000.0,30.0,250000.0,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2010-07-01,band_trigger_rebalance,103781463.58338465,3.726475150960967,18409.06997714299,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2010-12-01,band_trigger_rebalance,109560723.71910375,2.8475115204277146,20474.76165539887,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2011-10-03,band_trigger_rebalance,113417953.4221744,3.5703484546899036,19564.144352025556,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2012-02-01,band_trigger_rebalance,120926079.05423619,2.9153019329150265,23988.907715118035,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2013-04-01,band_trigger_rebalance,132499878.35562234,2.6709304391383695,20724.207783665508,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2013-08-01,band_trigger_rebalance,138485461.745183,2.6843288152133993,23550.40207795468,142041.0096449917
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2014-07-01,band_trigger_rebalance,142289617.90300483,2.677503507992257,20665.83279306939,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2015-06-01,band_trigger_rebalance,166568930.33193165,2.5540197486443708,24401.465027514947,79349.16179527636
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2017-05-01,band_trigger_rebalance,188109443.05768457,3.0012095479621497,42119.12249374402,716308.5991609497
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2018-01-02,band_trigger_rebalance,194329820.1935422,2.815228236704048,30070.037936131488,24360.016913151554
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2018-09-03,band_trigger_rebalance,213676265.93050578,2.793807993561051,42813.16993496886,1404436.229871402
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2019-01-02,band_trigger_rebalance,198916448.21458924,3.2126196491356893,43625.046928712225,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2019-07-01,band_trigger_rebalance,229479168.76164383,2.642237156561808,46971.866871667895,0.0
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2020-04-01,band_trigger_rebalance,230537105.621208,5.665862588343673,69990.63258245178,299440.54309828614
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,2020-05-01,band_trigger_rebalance,253839667.5032461,2.8951124065236424,37668.29647202596,595578.9254024167
