date,V1_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2015-01-23,0.8850772799674225,1.8227969313480576,1.0
2015-01-26,0.8782875723621413,1.82327025992705,1.0
2015-01-27,0.8786519997199083,1.8397600634270252,1.0
2015-01-28,0.8842068887413791,1.8499981529190996,1.0
2015-01-29,0.8767008612783724,1.8407026775355078,1.0
2015-01-30,0.8701163582117818,1.8399851702933114,1.0
2015-02-02,0.8707277136027479,1.84370464803912,1.0
2015-02-03,0.8603159364202152,1.8437204179269182,1.0
2015-02-04,0.8677805566775116,1.8544665475612618,1.0
2015-02-05,0.8665925086558595,1.845882021399856,1.0
2015-02-06,0.8587429099822701,1.849137024550822,1.0
2015-02-09,0.8528251852168193,1.8419383936766893,1.0
2015-02-10,0.8542859076917022,1.8319476128366845,1.0
2015-02-11,0.8610312672444977,1.8420160931533003,1.0
2015-02-12,0.8613258441837673,1.8388454344917122,1.0
2015-02-13,0.8742081439525787,1.854802384606039,1.0
2015-02-16,0.8771765801005016,1.8562281080048257,1.0
2015-02-17,0.8747689478136413,1.8600949333843178,1.0
2015-02-23,0.8806012469720734,1.8674065598438225,1.0
2015-02-24,0.8808278912981318,1.875353964757989,1.0
2015-02-25,0.8872436423338128,1.8896559406618754,1.0
2015-02-26,0.8889088834702532,1.8930202582726343,1.0
2015-02-27,0.8715390313047016,1.8866620719858234,1.0
2015-03-02,0.8816650699747357,1.8988734020566076,1.0
2015-03-03,0.8945935518397722,1.9037653167382467,1.0
2015-03-04,0.8905783609746667,1.9014260123300284,1.0
2015-03-05,0.8877714743116711,1.901858218176382,1.0
2015-03-06,0.897424130654918,1.9164880166114904,1.0
2015-03-09,0.8837910281939044,1.8978669305997182,1.0
2015-03-10,0.8805432781139666,1.8908800662124328,1.0
2015-03-11,0.8886247395019423,1.8884880293242825,1.0
2015-03-12,0.8685468933883453,1.8797352089779198,1.0
2015-03-13,0.882685890461835,1.8948954923749923,1.0
2015-03-16,0.8885177214713091,1.8973603726530996,1.0
2015-03-17,0.9032802111342779,1.9388110904334084,1.0
2015-03-18,0.9060555224142988,1.937941953869782,1.0
2015-03-19,0.9088353687132884,1.9478727016877022,1.0
2015-03-20,0.9015448962227509,1.9480015561595574,1.0
2015-03-23,0.9057847210315446,1.9481782655230697,1.0
2015-03-24,0.9060062761780036,1.9532916637079127,1.0
2015-03-25,0.9012016186867398,1.955582756382721,1.0
2015-03-26,0.8870584961958535,1.9374622962437398,1.0
2015-03-27,0.8754511516167977,1.9354105043756178,1.0
2015-03-30,0.8715604365295094,1.9459510554460986,1.0
2015-03-31,0.8779419546442192,1.9571639365632438,1.0
2015-04-01,0.8617473480377091,1.9461449998436275,1.0
2015-04-02,0.8615384187796518,1.9475788908098155,1.0
2015-04-03,0.8630257012427573,1.963937478075197,1.0
2015-04-06,0.8580234328229679,1.965924540981293,1.0
