date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2024-02-15,0.0,1.7517119564597643,1.7517119564597643,1.7517119564597643,5,1.3921712072994388,1.7517119564597643,1.258259003831698
2024-02-16,0.0,1.7816478605002166,1.7816478605002166,1.7816478605002166,5,1.4159627350765422,1.7816478605002166,1.258259003831698
2024-02-19,0.0,1.7838002806092343,1.7838002806092343,1.7838002806092343,5,1.417673368660298,1.7838002806092343,1.258259003831698
2024-02-20,0.0,1.7639216029340783,1.7639216029340783,1.7639216029340783,5,1.4018748108000954,1.7639216029340783,1.258259003831698
2024-02-21,0.0,1.7616269875070603,1.7616269875070603,1.7616269875070603,5,1.400051167639164,1.7616269875070603,1.258259003831698
2024-02-22,0.0,1.7866823677040005,1.7866823677040005,1.7866823677040005,5,1.4199639043019978,1.7866823677040005,1.258259003831698
2024-02-23,0.0,1.790661563665738,1.790661563665738,1.790661563665738,5,1.4231263660444688,1.790661563665738,1.258259003831698
2024-02-26,0.0,1.7870697936196702,1.7870697936196702,1.7870697936196702,5,1.4202718106348673,1.7870697936196702,1.258259003831698
2024-02-27,0.0,1.7612457950945348,1.7612457950945348,1.7612457950945348,5,1.3997482153762637,1.7612457950945348,1.258259003831698
2024-02-28,0.0,1.7834226159098985,1.7834226159098985,1.7834226159098985,5,1.417373220043689,1.7834226159098985,1.258259003831698
2024-02-29,0.0,1.7728937867276564,1.7728937867276564,1.7728937867276564,5,1.4090054442914957,1.7728937867276564,1.258259003831698
2024-03-04,0.0,1.810176197952942,1.810176197952942,1.810176197952942,5,1.438635600810743,1.810176197952942,1.258259003831698
2024-03-05,0.0,1.7864366110388001,1.7864366110388001,1.7864366110388001,5,1.4197685894546954,1.7864366110388001,1.258259003831698
2024-03-06,0.0,1.7811233811539617,1.7811233811539617,1.7811233811539617,5,1.4155459056760311,1.7811233811539617,1.258259003831698
2024-03-07,0.0,1.7960847362167751,1.7960847362167751,1.7960847362167751,5,1.4274364266397217,1.7960847362167751,1.258259003831698
2024-03-08,0.0,1.84376236121368,1.84376236121368,1.84376236121368,5,1.4653281682062158,1.84376236121368,1.258259003831698
2024-03-11,0.0,1.8061503062812037,1.8061503062812037,1.8061503062812037,5,1.4354360277026004,1.8061503062812037,1.258259003831698
2024-03-12,0.0,1.8240675420252366,1.8240675420252366,1.8240675420252366,5,1.4496757316820439,1.8240675420252366,1.258259003831698
2024-03-13,0.0,1.8279523008202474,1.8279523008202474,1.8279523008202474,5,1.4527631395870784,1.8279523008202474,1.258259003831698
2024-03-14,0.0,1.8330358784774636,1.8330358784774636,1.8330358784774636,5,1.4568033075030127,1.8330358784774636,1.258259003831698
2024-03-15,0.0,1.7893077610240902,1.7893077610240902,1.7893077610240902,5,1.4220504328403152,1.7893077610240902,1.258259003831698
2024-03-18,0.0,1.819096474337353,1.819096474337353,1.819096474337353,5,1.445724980944123,1.819096474337353,1.258259003831698
