ticker,rcept_dt,official_status_category,report_nm,rcept_no,w001_tradable_state,reconciliation_class
149940,2019-03-21,delisting,기타시장안내(상장폐지 사유발생),20190321901710,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
180400,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영),20190321901704,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
043590,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영)),20190321901699,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
156100,2019-03-21,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),20190321901672,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
212310,2019-03-21,resumption_related,주권매매거래정지해제(상장적격성 실질심사 대상제외 결정),20190321601688,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
194510,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901685,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
069540,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영)),20190321901690,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
194510,2019-03-21,delisting,기타시장안내(상장폐지 사유발생),20190321901674,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
020560,2019-03-21,resumption_related,매매거래정지및정지해제(풍문등조회공시),20190321801662,panel_absence,official_status_but_panel_absent
094190,2019-03-21,suspension_related,주권매매거래정지기간변경(풍문 사유(감사의견 비적정설) 미해소),20190321901618,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
078940,2019-03-21,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),20190321901586,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
138360,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영)),20190321901489,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065160,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영)),20190321901481,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
044180,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영)),20190321901430,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
226350,2019-03-21,suspension_related,주권매매거래정지(관리종목지정사유발생),20190321901492,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
080440,2019-03-21,suspension_related,주권매매거래정지(관리종목지정사유발생),20190321901016,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065420,2019-03-21,suspension_related,주권매매거래정지(상장적격성 실질심사 대상 (사유발생)),20190321900897,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
043220,2019-03-21,suspension_related,주권매매거래정지(관리종목지정사유발생),20190321900721,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
230980,2019-03-21,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190321900508,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
223220,2019-03-21,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190321600325,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
094190,2019-03-21,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190321900083,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
138360,2019-03-20,delisting,기타시장안내(상장폐지 사유발생),20190320901085,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
138360,2019-03-20,suspension_related,주권매매거래정지(상장폐지 사유발생),20190320901084,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
180400,2019-03-20,suspension_related,주권매매거래정지(상장폐지 사유발생),20190320901076,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
180400,2019-03-20,delisting,기타시장안내(상장폐지 사유 발생),20190320901074,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065160,2019-03-20,delisting,기타시장안내(상장폐지 사유발생),20190320901024,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065160,2019-03-20,suspension_related,주권매매거래정지기간변경(상장폐지 사유발생),20190320901013,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
223310,2019-03-20,suspension_related,주권매매거래정지(관리종목지정사유발생),20190320900925,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
046070,2019-03-20,suspension_related,주권매매거래정지기간변경(풍문 사유(감사의견 비적정설) 미해소),20190320900808,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
205290,2019-03-20,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190320600712,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
156100,2019-03-20,suspension_related,주권매매거래정지기간변경(풍문 사유(2018사업연도 내부회계관리제도 검토의견 비적정설) 미해소),20190320900710,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
206400,2019-03-20,suspension_related,주권매매거래정지(관리종목지정사유발생),20190320900598,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
228760,2019-03-20,delisting,상장폐지결정(코스닥시장 이전상장),20190320600548,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
156100,2019-03-19,suspension_related,주권매매거래정지(투자자 보호),20190319901177,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
156100,2019-03-19,other,조회공시요구(풍문또는보도)(2018사업연도 내부회계관리제도 검토의견 비적정설),20190319901176,PANEL_ABSENT_OR_OUT_OF_SCOPE,requires_manual_review
220110,2019-03-19,delisting,기타시장안내(상장폐지 사유 발생),20190319601173,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
220110,2019-03-19,suspension_related,주권매매거래정지(상장폐지 사유발생),20190319601174,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
205500,2019-03-19,suspension_related,주권매매거래정지(관리종목지정사유발생),20190319900834,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
046070,2019-03-19,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190319900672,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
043100,2019-03-19,suspension_related,주권매매거래정지(관리종목지정사유발생),20190319900562,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
033600,2019-03-19,suspension_related,주권매매거래정지(관리종목지정사유발생),20190319900544,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
