correction_rcept_no,correction_rcept_dt,stock_code,corp_code,corp_name,correction_report_nm,event_category,pass1_link_confidence,pass2_link_confidence,pass2_cross_category,pass2_raw_pool,pass2_long_window,n_cands_730d,root_cause,notes
20230206901186,2023-02-06,029480,186452,광무,[기재정정]주권매매거래정지(상장적격성 실질심사 대상 (사유발생)),suspension_related,no_link,medium,False,False,True,4,window_too_short,candidate at 325d (pass-1 used 180d)
20230131800615,2023-01-31,140910,860730,에이리츠,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20230120800194,2023-01-20,005490,155319,POSCO홀딩스,[기재정정]생산재개(자율공시),resumption_related,no_link,no_link,False,False,False,1,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20220620900716,2022-06-20,138690,670085,엘아이에스,[기재정정]주권매매거래정지해제,resumption_related,no_link,medium,True,False,False,6,window_too_short,candidate at 544d (pass-1 used 180d)
20190322600250,2019-03-22,242850,1113781,영현무역,[기재정정]주권매매거래정지(상장폐지 사유발생),suspension_related,no_link,high,False,False,False,2,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20190304900009,2019-03-04,178780,923826,일월지엠엘,[기재정정]주권매매거래정지(관리종목지정우려),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20190117900312,2019-01-17,083470,475718,이엠앤아이,[기재정정]기타시장안내(상장적격성 실질심사관련 매매거래정지 안내 ),suspension_related,no_link,high,False,False,False,13,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20200514900567,2020-05-14,148140,610490,비디아이,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,2,window_too_short,candidate at 581d (pass-1 used 180d)
20200512900593,2020-05-12,046070,295857,코다코,[기재정정]기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내),suspension_related,no_link,high,False,False,False,13,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20200506900190,2020-05-06,053660,188715,현진소재,[기재정정]주권매매거래정지기간변경(개선기간 부여),suspension_related,no_link,high,False,False,False,7,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20200506900186,2020-05-06,114190,100601,강원에너지,[기재정정]주권매매거래정지기간변경(개선기간 부여),suspension_related,no_link,high,False,False,False,5,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20200416900247,2020-04-16,241820,1051092,피씨엘,[기재정정]주권매매거래정지(단일판매공급계약),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20200414800366,2020-04-14,083380,526465,동북아13호선박투자회사,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20200406900994,2020-04-06,138360,808068,앤로보틱스,[기재정정]주권매매거래정지기간변경(사업보고서 미제출),suspension_related,no_link,low,False,False,False,7,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20210520900119,2021-05-20,007530,140858,와이엠,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,2,window_too_short,candidate at 632d (pass-1 used 180d)
20210430901247,2021-04-30,036180,257149,지더블유바이텍,[기재정정]기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내),suspension_related,no_link,no_link,False,False,True,7,window_too_short,candidate at 204d (pass-1 used 180d)
20210413900608,2021-04-13,126870,638539,앤에스,"[기재정정]주권매매거래정지기간변경(개선기간 부여, 상장적격성 실질심사 대상 (사유발생))",suspension_related,no_link,medium,False,False,False,6,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20180402900901,2018-04-02,009780,121154,엠에스씨,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,2,window_too_short,candidate at 710d (pass-1 used 180d)
20240913900202,2024-09-13,030350,230036,드래곤플라이,[기재정정]주권매매거래정지              (자본감소),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20220330900712,2022-03-30,136510,763358,스마트솔루션즈,[기재정정]주권매매거래정지기간변경(투자자보호),suspension_related,no_link,high,False,False,False,6,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20220329900679,2022-03-29,253840,1063954,수젠텍,[기재정정]주권매매거래정지(단일판매공급계약),suspension_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20220328901608,2022-03-28,299910,1259056,애닉,[기재정정]주권매매거래정지기간변경(개선기간 부여),suspension_related,no_link,high,False,False,False,11,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
