date,signal_plus_gate_value,signal_only_value,gate_only_value,cash_value
2020-08-25,0.4785467484427873,0.3632219501094287,0.5372034910998835,1.0
2020-08-26,0.4710205732349516,0.35750950499356315,0.5586121712226358,1.0
2020-08-27,0.46618046575526284,0.35383581316881973,0.5577808588911259,1.0
2020-08-28,0.45838587463107794,0.34791963758588074,0.5534768945708196,1.0
2020-08-31,0.4467399597520057,0.339080267290398,0.5376587316992236,1.0
2020-09-01,0.4508130347958471,0.3421717735333728,0.5397311923873338,1.0
2020-09-02,0.4469504243444361,0.33924001210099447,0.5369383013190003,1.0
2020-09-03,0.4584691377337221,0.3479828351451851,0.5525852463760174,1.0
2020-09-04,0.4683906779883926,0.3555133871991219,0.543127408316917,1.0
2020-09-07,0.49105341192679486,0.3727146375319338,0.5370017755445016,1.0
2020-09-08,0.47092058593980346,0.3574336135985259,0.5397657124339266,1.0
2020-09-09,0.46900744086045465,0.3559815166219513,0.5308140412190816,1.0
2020-09-10,0.46497741673557996,0.3529226864734063,0.5352305812814504,1.0
2020-09-11,0.4596966200674308,0.348914506979599,0.5351313906593951,1.0
2020-09-14,0.4772017931033987,0.36220111504415553,0.5401661462450067,1.0
2020-09-15,0.4784145826711389,0.3631216349166663,0.550539342042075,1.0
2020-09-16,0.47915444654192985,0.3636831992755062,0.5321633981288625,1.0
2020-09-17,0.48286557287785076,0.36649998269159245,0.5193045924092864,1.0
2020-09-18,0.4858918536496859,0.36879696121480154,0.5233215492736285,1.0
2020-09-21,0.48462006250174305,0.3678316585303911,0.5138328886645348,1.0
2020-09-22,0.46365528929905775,0.35191917802339706,0.5057432907945019,1.0
2020-09-23,0.45972104364233257,0.34893304472650327,0.5029075753302451,1.0
2020-09-24,0.45490231662988684,0.3452755808983591,0.49414862179362984,1.0
2020-09-25,0.451403404429527,0.3426198702142683,0.49568334206302544,1.0
2020-09-28,0.44742391969826656,0.339599399990152,0.498168606084069,1.0
2020-09-29,0.45045523006817495,0.34190019603051347,0.5043163112425642,1.0
2020-10-05,0.4521196840205087,0.3431635338598924,0.5026032424325069,1.0
