signal,ticker,signal_date,execution_date,exit_date,holding_days,entry_price,exit_price,signal_value,gross_return,net_return,tax_paid_return
r1d_lt_m3_hold3,009200,2020-02-19,2020-12-08,2020-12-11,3,2580.0,3090.0,0.0,0.19767441860465107,0.14818604651162784,0.04348837209302323
r1d_lt_m3_hold3,005420,2023-04-21,2023-04-24,2023-04-26,3,65700.0,58100.0,0.0,-0.1156773211567732,-0.12167732115677321,0.0
r1d_lt_m3_hold3,326030,2020-10-05,2020-10-06,2020-10-08,3,141000.0,147500.0,0.0,0.046099290780141855,0.029957446808510646,0.010141843971631209
r1d_lt_m3_hold3,009150,2019-08-23,2019-08-26,2019-08-28,3,86600.0,87600.0,0.0,0.011547344110854452,0.0030069284064664723,0.0025404157043879792
r1d_lt_m3_hold3,010950,2021-11-15,2021-11-16,2021-11-18,3,96300.0,88400.0,0.0,-0.08203530633437173,-0.08803530633437173,0.0
r1d_lt_m3_hold3,036570,2023-07-19,2023-07-20,2023-07-24,3,286500.0,276000.0,0.0,-0.03664921465968585,-0.042649214659685845,0.0
r1d_lt_m3_hold3,456040,2023-06-12,2023-06-13,2023-06-22,3,126200.0,112400.0,0.0,-0.10935023771790808,-0.11535023771790809,0.0
r1d_lt_m3_hold3,011210,2020-01-31,2020-02-03,2020-04-10,3,41900.0,34900.0,0.0,-0.16706443914081148,-0.1730644391408115,0.0
r1d_lt_m3_hold3,272210,2025-11-04,2025-11-05,2025-11-07,3,58400.0,52500.0,0.0,-0.10102739726027399,-0.107027397260274,0.0
r1d_lt_m3_hold3,035420,2021-12-24,2021-12-27,2021-12-29,3,384500.0,382000.0,0.0,-0.006501950585175553,-0.012501950585175553,0.0
r1d_lt_m3_hold3,005380,2022-10-05,2022-10-06,2022-10-11,3,178500.0,168000.0,0.0,-0.05882352941176472,-0.06482352941176472,0.0
r1d_lt_m3_hold3,353200,2025-12-18,2025-12-19,2025-12-23,3,49100.0,47150.0,0.0,-0.03971486761710796,-0.04571486761710796,0.0
r1d_lt_m3_hold3,003350,2018-08-30,2018-09-03,2018-09-28,3,45250.0,49850.0,0.0,0.10165745856353592,0.073292817679558,0.022364640883977903
r1d_lt_m3_hold3,009900,2023-08-29,2023-09-12,2023-11-21,3,20700.0,19340.0,0.0,-0.06570048309178744,-0.07170048309178745,0.0
r1d_lt_m3_hold3,000660,2018-02-14,2018-02-19,2018-02-21,3,78900.0,76900.0,0.0,-0.025348542458808576,-0.031348542458808575,0.0
r1d_lt_m3_hold3,012450,2026-02-05,2026-02-06,2026-02-10,3,1159000.0,1146000.0,0.0,-0.011216566005176842,-0.01721656600517684,0.0
r1d_lt_m3_hold3,005490,2024-05-14,2024-05-16,2024-05-20,3,406000.0,401000.0,0.0,-0.012315270935960632,-0.01831527093596063,0.0
r1d_lt_m3_hold3,079550,2022-08-08,2022-08-09,2022-08-11,3,95400.0,90100.0,0.0,-0.05555555555555558,-0.06155555555555558,0.0
r1d_lt_m3_hold3,017670,2020-07-16,2020-07-17,2020-07-21,3,218000.0,215500.0,0.0,-0.011467889908256867,-0.017467889908256866,0.0
r1d_lt_m3_hold3,003490,2021-01-29,2021-02-01,2021-02-03,3,28350.0,30100.0,0.0,0.06172839506172845,0.04214814814814819,0.013580246913580259
r1d_lt_m3_hold3,042660,2025-06-04,2025-06-05,2025-06-10,3,77500.0,78900.0,0.0,0.01806451612903226,0.008090322580645163,0.003974193548387097
r1d_lt_m3_hold3,006400,2022-07-15,2022-07-18,2022-07-20,3,550000.0,559000.0,0.0,0.016363636363636358,0.006763636363636359,0.0035999999999999986
r1d_lt_m3_hold3,003780,2025-01-02,2025-01-03,2025-02-03,3,9710.0,11200.0,0.0,0.15345005149330593,0.11369104016477863,0.0337590113285273
r1d_lt_m3_hold3,008350,2020-02-13,2020-02-14,2020-02-18,3,4595.0,4520.0,0.0,-0.016322089227421066,-0.022322089227421064,0.0
r1d_lt_m3_hold3,003060,2020-03-11,2020-03-18,2020-03-26,3,1350.0,1320.0,0.0,-0.022222222222222254,-0.028222222222222253,0.0
r1d_lt_m3_hold3,000660,2021-10-13,2021-10-14,2021-10-18,3,92400.0,97100.0,0.0,0.05086580086580095,0.03367532467532474,0.011190476190476209
r1d_lt_m3_hold3,034020,2018-12-03,2018-12-26,2019-01-14,3,10450.0,10500.0,0.0,0.004784688995215225,-0.0022679425837321245,0.0010526315789473495
r1d_lt_m3_hold3,032830,2019-04-29,2019-04-30,2019-05-07,3,85000.0,82900.0,0.0,-0.024705882352941133,-0.03070588235294113,0.0
r1d_lt_m3_hold3,000990,2022-06-21,2022-06-22,2022-06-24,3,56300.0,52600.0,0.0,-0.06571936056838368,-0.07171936056838368,0.0
r1d_lt_m3_hold3,027740,2019-08-20,2019-08-21,2019-09-02,3,845.0,850.0,0.0,0.00591715976331364,-0.0013846153846153611,0.0013017751479290007
r1d_lt_m3_hold3,009270,2021-11-25,2021-12-03,2021-12-09,3,2640.0,2660.0,0.0,0.007575757575757569,-9.090909090909635e-05,0.0016666666666666653
r1d_lt_m3_hold3,010100,2018-08-20,2018-08-24,2019-06-11,3,1725.0,2125.0,0.0,0.2318840579710144,0.17486956521739122,0.05101449275362317
r1d_lt_m3_hold3,105560,2024-09-10,2024-09-11,2024-09-13,3,84000.0,81800.0,0.0,-0.02619047619047621,-0.03219047619047621,0.0
r1d_lt_m3_hold3,264900,2019-06-25,2019-07-31,2021-01-29,3,9290.0,10550.0,0.0,0.1356297093649086,0.0997911733046287,0.02983853606027989
r1d_lt_m3_hold3,267270,2025-10-22,2025-10-23,2025-10-29,3,102700.0,111400.0,0.0,0.08471275559883162,0.06007594936708866,0.018636806231742957
r1d_lt_m3_hold3,068270,2025-02-21,2025-02-24,2025-02-26,3,178300.0,189300.0,0.0,0.06169377453729674,0.04212114413909146,0.013572630398205283
r1d_lt_m3_hold3,006400,2026-03-25,2026-03-26,2026-03-30,3,402000.0,412500.0,0.0,0.026119402985074647,0.014373134328358225,0.005746268656716422
r1d_lt_m3_hold3,023590,2020-05-08,2020-05-11,2020-05-13,3,18750.0,20950.0,0.0,0.11733333333333329,0.08551999999999996,0.025813333333333324
r1d_lt_m3_hold3,030200,2022-09-07,2022-09-08,2022-09-14,3,37000.0,36400.0,0.0,-0.01621621621621616,-0.02221621621621616,0.0
r1d_lt_m3_hold3,035420,2024-01-03,2024-01-04,2024-01-08,3,221000.0,226500.0,0.0,0.02488687782805421,0.013411764705882286,0.005475113122171926
r1d_lt_m3_hold3,032640,2025-06-05,2025-06-11,2025-07-07,3,12900.0,14170.0,0.0,0.09844961240310068,0.07079069767441853,0.02165891472868215
r1d_lt_m3_hold3,009540,2019-10-31,2019-11-01,2019-11-05,3,121500.0,122000.0,0.0,0.004115226337448652,-0.0027901234567900514,0.0009053497942387034
r1d_lt_m3_hold3,018260,2024-04-22,2024-04-23,2024-04-26,3,152800.0,158600.0,0.0,0.03795811518324599,0.023607329842931873,0.008350785340314118
