sample_id,bucket,category,in_scope_for_parser,negative_control,period,rcept_no,rcept_dt,stock_code,corp_name,report_nm,is_correction
MAN_0158,correction_flagged,suspension_related,True,False,post_2018,20200506900186,2020-05-06,114190,강원에너지,[기재정정]주권매매거래정지기간변경(개선기간 부여),True
MAN_0159,correction_flagged,delisting,False,True,post_2018,20200302900212,2020-03-02,008800,행남사,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
MAN_0160,correction_flagged,suspension_related,True,False,post_2018,20180402900901,2018-04-02,009780,엠에스씨,[기재정정]주권매매거래정지(무상증자),True
MAN_0161,correction_flagged,delisting,False,True,post_2018,20200227901197,2020-02-27,080440,에스제이케이,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
MAN_0162,correction_flagged,delisting,False,True,post_2018,20200814903247,2020-08-14,036260,이매진아시아,[기재정정]기타시장안내(상장폐지 사유발생),True
MAN_0163,correction_flagged,other,False,True,post_2018,20250311800669,2025-03-11,002410,범양건영,[기재정정]영업정지(종속회사의주요경영사항)              ,True
MAN_0164,correction_flagged,suspension_related,True,False,post_2018,20210430901247,2021-04-30,036180,지더블유바이텍,[기재정정]기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내),True
MAN_0165,correction_flagged,delisting,False,True,post_2018,20231121900399,2023-11-21,028300,HLB,[기재정정]상장폐지승인을위한의안상정결정,True
MAN_0166,correction_flagged,delisting,False,True,post_2018,20200311900827,2020-03-11,197210,리드,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
MAN_0167,correction_flagged,delisting,False,True,post_2018,20200320902388,2020-03-20,043100,알파AI,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
MAN_0168,correction_flagged,delisting,False,True,post_2018,20250801801163,2025-08-01,005390,신성통상,[기재정정]상장폐지결정              ,True
MAN_0169,correction_flagged,delisting,False,True,pre_2018,20110323900721,20110323,039040,유니텍전자,[기재정정]기타시장안내(상장폐지 관련),True
